260,26.85
Nature 5 - Character Physics\DeformTerrainMaster\gravityForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceYFloat
-367.875,-367.875,-735.750,0.025,0.724,0.413,366.931,355.064,721.995
-367.875,-367.875,-735.750,0.025,7.090,5.863,366.648,374.966,741.613
-367.875,-367.875,-735.750,0.025,13.862,13.310,367.323,381.737,749.060
-274.185,-461.565,-735.750,0.025,11.894,11.643,-21.915,-672.640,-694.555
-179.176,-556.574,-735.750,177.840,1925.012,2102.851,357.016,2481.585,2838.602
-37.045,-698.705,-735.750,17.327,103.096,37.442,-12.348,-3293.646,-3305.995
-67.998,-667.752,-735.750,93.201,1115.327,1100.167,161.199,-295.481,-134.282
-311.524,-424.226,-735.750,261.337,78.924,184.542,572.860,347.432,920.292
-474.509,-261.241,-735.750,104.363,1041.572,1501.379,578.872,-78.169,500.703
-695.357,-40.393,-735.750,128.440,72.029,303.223,573.051,112.423,685.473
-724.182,-11.568,-735.750,119.726,5.246,113.322,514.719,5.605,520.324
-735.750,0.000,-735.750,200.574,0.451,200.574,936.324,0.000,936.324
-729.365,-6.385,-735.750,107.191,3.047,110.238,836.556,9.432,845.989
-725.832,-9.918,-735.750,46.029,1.142,47.171,771.861,11.060,782.921
-724.676,-11.075,-735.750,83.468,1.475,84.943,808.144,12.549,820.693
-677.927,-57.823,-735.750,83.468,0.344,84.943,464.153,45.438,509.590
-424.219,-311.531,-735.750,83.468,126.696,28.678,-366.141,438.227,72.086
-363.920,-371.830,-735.750,83.468,69.501,28.678,266.364,441.332,707.696
-367.875,-367.875,-735.750,355.606,8.922,364.528,723.481,376.797,1100.278
-367.875,-367.875,-735.750,88.000,0.308,88.308,455.876,368.183,824.059
-367.875,-367.875,-735.750,37.334,0.042,36.984,405.209,367.525,772.735
-367.875,-367.875,-735.750,1.670,0.042,1.445,369.545,367.650,737.195
-367.875,-367.875,-735.750,0.377,0.042,0.367,368.252,367.866,736.118
-367.875,-367.875,-735.750,0.043,0.042,0.037,367.737,367.917,735.654
-347.883,-387.867,-735.750,0.043,0.182,0.037,222.106,386.555,608.661
-218.174,-517.576,-735.750,1.937,0.182,0.037,220.112,488.268,708.380
-77.422,-658.328,-735.750,1.937,0.182,0.037,-53.571,547.771,494.201
-43.986,-691.764,-735.750,27.057,0.182,0.037,71.043,524.531,595.574
-159.269,-576.481,-735.750,137.044,0.182,5.305,296.313,444.742,741.055
-394.684,-341.067,-735.750,238.857,0.182,184.374,244.362,262.729,507.092
-571.474,-164.276,-735.750,238.857,0.182,184.374,380.181,149.935,530.116
-735.750,0.000,-735.750,343.300,0.182,343.300,1079.051,0.000,1079.051
-735.750,0.000,-735.750,1447.254,0.182,1447.254,2183.004,0.000,2183.004
-735.750,0.000,-735.750,171.341,0.182,171.341,907.091,0.000,907.091
-725.637,-10.113,-735.750,70.877,13.905,83.582,286.108,24.018,310.126
-728.431,-7.319,-735.750,70.877,9.174,83.582,265.325,16.493,281.818
-703.617,-32.133,-735.750,685.535,9.174,617.464,1389.151,-35.938,1353.214
-662.453,-73.297,-735.750,582.298,9.174,553.418,-835.196,53.339,-781.857
-520.393,-215.357,-735.750,2.270,10.741,13.011,522.663,226.098,748.761
-147.411,-588.339,-735.750,150.260,85.672,39.504,101.243,674.011,775.254
-80.118,-655.632,-735.750,12.804,104.666,117.469,92.922,760.298,853.219
0.000,-735.750,-735.750,12.923,118.427,118.427,0.000,642.032,642.032
-9.563,-726.187,-735.750,12.923,118.427,118.427,7.885,704.360,712.245
-9.197,-726.553,-735.750,8.055,55.975,64.030,17.252,782.528,799.780
-21.761,-713.989,-735.750,20.510,25.551,10.192,-17.907,658.923,641.016
-20.618,-715.132,-735.750,1.652,170.282,171.934,22.270,885.414,907.684
-36.069,-699.681,-735.750,3.150,251.374,254.524,28.005,455.843,483.848
-67.884,-667.866,-735.750,3.150,347.668,346.575,66.791,1015.534,1082.325
-332.361,-403.389,-735.750,151.149,347.668,346.575,483.510,191.385,674.895
-404.135,-331.615,-735.750,41.846,34.579,76.425,445.982,366.194,812.175
-367.875,-367.875,-735.750,1.825,11.222,13.047,369.701,379.097,748.798
-367.875,-367.875,-735.750,0.576,1.010,1.586,368.451,368.885,737.336
-220.354,-515.396,-735.750,0.576,1.010,1.586,192.640,494.349,686.988
-24.451,-711.300,-735.750,4.890,1.010,1.586,20.451,586.773,607.223
-67.438,-668.312,-735.750,1.428,33.467,34.675,68.866,664.061,732.927
-159.228,-576.522,-735.750,17.670,33.467,34.675,176.898,464.475,641.372
-434.890,-300.860,-735.750,113.861,33.467,37.886,548.752,224.884,773.636
-622.520,-113.230,-735.750,201.078,33.467,156.671,823.598,68.823,892.421
-735.750,0.000,-735.750,24.907,33.467,24.907,760.657,0.000,760.657
-735.750,0.000,-735.750,139.024,33.467,139.024,556.440,0.000,556.440
-735.750,0.000,-735.750,1.039,33.467,1.039,715.476,0.000,715.476
-725.888,-9.862,-735.750,91.596,4.128,95.724,817.484,13.990,831.474
-728.098,-7.652,-735.750,47.693,3.459,51.152,775.791,11.111,786.902
-712.440,-23.310,-735.750,47.693,1.018,51.152,633.858,22.847,656.705
-673.529,-62.221,-735.750,47.693,1.018,51.152,612.322,59.576,671.898
-520.030,-215.720,-735.750,47.693,52.091,51.152,364.741,267.810,632.551
-147.161,-588.589,-735.750,47.693,100.332,6.829,53.658,688.921,742.579
0.000,-735.750,-735.750,47.693,128.670,128.670,0.000,864.420,864.420
-189.318,-546.432,-735.750,52.049,1.895,53.945,241.368,548.327,789.695
-349.014,-386.736,-735.750,300.382,6.593,306.976,649.396,393.330,1042.726
-367.875,-367.875,-735.750,13.181,8.298,21.479,381.056,376.173,757.229
-367.875,-367.875,-735.750,1.067,0.489,1.556,368.942,368.364,737.306
-367.875,-367.875,-735.750,1.054,0.120,0.954,368.929,367.775,736.704
-367.875,-367.875,-735.750,0.738,0.120,0.592,368.613,367.729,736.342
-367.875,-367.875,-735.750,0.717,0.120,0.687,368.592,367.845,736.437
-367.875,-367.875,-735.750,0.207,0.120,0.148,368.082,367.816,735.898
-367.875,-367.875,-735.750,0.049,0.151,0.022,367.269,368.027,735.296
-367.875,-367.875,-735.750,0.049,0.097,0.022,366.854,367.875,734.729
-343.353,-392.397,-735.750,0.049,0.097,0.022,248.360,390.638,638.998
-134.131,-601.619,-735.750,0.049,0.097,0.022,129.258,533.328,662.586
-32.760,-702.990,-735.750,0.949,0.097,0.022,31.537,677.558,709.094
-68.004,-667.746,-735.750,0.949,0.097,0.022,56.550,529.843,586.394
-311.066,-424.684,-735.750,92.456,0.097,18.427,403.523,326.094,729.616
-545.070,-190.680,-735.750,85.339,0.097,30.231,630.409,135.573,765.981
-735.750,0.000,-735.750,82.945,0.097,82.945,818.695,0.000,818.695
-735.750,0.000,-735.750,1.073,0.097,1.073,704.526,0.000,704.526
-735.750,0.000,-735.750,12.988,0.097,12.988,725.583,0.000,725.583
-729.468,-6.282,-735.750,12.988,1.860,12.988,725.034,8.142,733.175
-728.665,-7.085,-735.750,22.742,2.033,24.775,751.407,9.118,760.525
-718.682,-17.068,-735.750,30.920,0.694,33.546,651.157,17.762,668.919
-673.716,-62.034,-735.750,30.920,0.694,33.546,585.752,56.042,641.794
-534.414,-201.336,-735.750,30.920,17.339,33.546,411.517,218.675,630.192
-371.344,-364.406,-735.750,30.920,82.541,16.725,305.528,446.947,752.475
-78.347,-657.403,-735.750,30.920,31.827,12.611,59.131,689.230,748.361
0.000,-735.750,-735.750,30.920,63.235,63.235,0.000,798.985,798.985
0.000,-735.750,-735.750,30.920,6.620,6.620,0.000,742.370,742.370
0.000,-735.750,-735.750,30.920,13.704,13.704,0.000,730.723,730.723
-21.029,-714.721,-735.750,9.544,4.376,4.376,30.573,610.660,641.233
-17.427,-718.323,-735.750,9.654,56.977,66.631,27.081,775.300,802.381
-122.530,-613.220,-735.750,9.439,1.968,11.407,131.968,615.189,747.157
-251.646,-484.104,-735.750,28.090,13.539,41.629,279.736,497.643,777.379
-367.875,-367.875,-735.750,2.705,2.785,5.490,370.580,370.660,741.240
-367.875,-367.875,-735.750,6.305,0.209,6.513,374.180,368.084,742.263
-367.875,-367.875,-735.750,0.595,0.042,0.465,368.470,367.746,736.216
-367.875,-367.875,-735.750,1.047,0.042,0.827,368.923,367.654,736.577
-367.875,-367.875,-735.750,0.472,0.042,0.453,368.348,367.855,736.203
-367.875,-367.875,-735.750,0.486,0.042,0.429,368.361,367.818,736.179
-238.354,-497.396,-735.750,0.249,0.042,0.225,167.086,464.973,632.059
-112.527,-623.223,-735.750,3.611,0.042,0.225,116.138,565.466,681.603
-38.681,-697.069,-735.750,3.611,0.042,0.225,35.344,658.477,693.820
-68.021,-667.729,-735.750,3.611,0.042,0.225,57.780,543.659,601.439
-330.650,-405.100,-735.750,202.586,22.209,224.796,533.237,427.309,960.546
-571.254,-164.497,-735.750,360.264,22.209,330.189,931.518,134.421,1065.939
-735.750,0.000,-735.750,35.806,31.361,35.806,722.559,0.000,722.559
-735.750,0.000,-735.750,139.843,31.361,139.843,875.593,0.000,875.593
-735.750,0.000,-735.750,12.792,31.361,12.792,695.714,0.000,695.714
