255,26.38
Main Terrain - Snow\DeformTerrainMaster\weightForceLeftYFloat,Main Terrain - Snow\DeformTerrainMaster\weightForceRightYFloat,Main Terrain - Snow\DeformTerrainMaster\weightForceYFloat,Main Terrain - Snow\DeformTerrainMaster\momentumForceLeftYFloat,Main Terrain - Snow\DeformTerrainMaster\momentumForceRightYFloat,Main Terrain - Snow\DeformTerrainMaster\momentumForceYFloat,Main Terrain - Snow\DeformTerrainMaster\totalGRForceLeftYFloat,Main Terrain - Snow\DeformTerrainMaster\totalGRForceRightYFloat,Main Terrain - Snow\DeformTerrainMaster\totalGRForceYFloat
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-380.138,-380.138,-760.275,0.000,0.128,0.128,380.138,380.266,760.403
-380.138,-380.138,-760.275,0.000,0.319,0.319,380.138,380.456,760.594
-380.138,-380.138,-760.275,0.000,0.353,0.353,380.138,380.491,760.628
-380.138,-380.138,-760.275,0.000,0.219,0.219,380.138,380.357,760.494
-380.138,-380.138,-760.275,0.000,0.143,0.143,380.138,380.281,760.418
-380.138,-380.138,-760.275,0.000,0.098,0.098,380.138,380.236,760.373
-380.138,-380.138,-760.275,0.000,0.102,0.102,380.138,380.239,760.377
-380.138,-380.138,-760.275,0.000,0.159,0.159,380.138,380.297,760.434
-380.138,-380.138,-760.275,0.000,0.072,0.072,380.138,380.209,760.347
-380.138,-380.138,-760.275,0.000,0.024,0.024,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.000,0.024,0.024,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.000,0.024,0.024,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.000,0.024,0.024,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.000,0.024,0.024,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.000,0.035,0.035,380.138,380.172,760.310
-380.138,-380.138,-760.275,0.000,0.036,0.036,380.138,380.173,760.311
-380.138,-380.138,-760.275,0.000,0.150,0.150,380.138,380.288,760.425
-380.138,-380.138,-760.275,0.000,0.125,0.125,380.138,380.262,760.400
-380.138,-380.138,-760.275,0.000,0.146,0.146,380.138,380.283,760.421
-380.138,-380.138,-760.275,0.000,0.073,0.073,380.138,380.210,760.348
-380.138,-380.138,-760.275,0.000,0.316,0.316,380.138,380.454,760.591
-380.138,-380.138,-760.275,0.000,0.358,0.358,380.138,380.496,760.633
-380.138,-380.138,-760.275,0.000,0.178,0.178,380.138,380.315,760.453
-380.138,-380.138,-760.275,0.000,0.022,0.022,380.138,380.160,760.297
-380.138,-380.138,-760.275,0.155,0.113,0.268,380.292,380.251,760.543
-380.138,-380.138,-760.275,0.010,0.012,0.012,380.138,380.149,760.287
-380.138,-380.138,-760.275,0.010,0.008,0.008,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.010,0.005,0.005,380.138,380.142,760.280
-380.138,-380.138,-760.275,0.010,0.005,0.005,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.079,0.005,0.079,380.216,380.138,760.354
-380.138,-380.138,-760.275,0.247,0.005,0.247,380.385,380.138,760.522
-380.138,-380.138,-760.275,0.433,0.005,0.433,380.571,380.138,760.708
-380.138,-380.138,-760.275,0.482,0.005,0.482,380.619,380.138,760.757
-380.138,-380.138,-760.275,0.589,0.005,0.589,380.727,380.138,760.864
-380.138,-380.138,-760.275,0.849,0.005,0.849,380.986,380.138,761.124
-380.138,-380.138,-760.275,0.625,0.005,0.625,380.762,380.138,760.900
-380.138,-380.138,-760.275,0.371,0.005,0.371,380.508,380.138,760.646
-380.138,-380.138,-760.275,0.156,0.104,0.260,380.293,380.242,760.535
-380.138,-380.138,-760.275,0.289,0.091,0.380,380.426,380.229,760.655
-380.138,-380.138,-760.275,0.032,0.090,0.090,380.138,380.228,760.365
-380.138,-380.138,-760.275,0.032,0.003,0.003,380.138,380.141,760.279
-380.138,-380.138,-760.275,0.014,0.003,0.014,380.151,380.138,760.289
-380.138,-380.138,-760.275,0.319,0.003,0.319,380.456,380.138,760.594
-380.138,-380.138,-760.275,0.603,0.003,0.603,380.740,380.138,760.878
-380.138,-380.138,-760.275,0.214,0.003,0.214,380.351,380.138,760.489
-380.138,-380.138,-760.275,0.051,0.018,0.018,380.138,380.156,760.294
-380.138,-380.138,-760.275,0.051,0.018,0.018,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.051,0.088,0.088,380.138,380.225,760.363
-380.138,-380.138,-760.275,0.212,0.270,0.483,380.350,380.408,760.758
-380.138,-380.138,-760.275,0.194,0.351,0.545,380.332,380.489,760.820
-380.138,-380.138,-760.275,0.212,0.237,0.449,380.350,380.374,760.724
-380.138,-380.138,-760.275,0.194,0.159,0.353,380.332,380.297,760.628
-380.138,-380.138,-760.275,0.299,0.023,0.299,380.437,380.138,760.574
-380.138,-380.138,-760.275,0.357,0.023,0.357,380.494,380.138,760.632
-380.138,-380.138,-760.275,0.374,0.023,0.374,380.512,380.138,760.649
-380.138,-380.138,-760.275,0.370,0.023,0.370,380.507,380.138,760.645
-380.138,-380.138,-760.275,0.270,0.023,0.270,380.408,380.138,760.545
-380.138,-380.138,-760.275,0.273,0.023,0.273,380.410,380.138,760.548
-380.138,-380.138,-760.275,0.188,0.065,0.253,380.326,380.202,760.528
-380.138,-380.138,-760.275,0.106,0.062,0.106,380.244,380.138,760.381
-380.138,-380.138,-760.275,0.035,0.062,0.035,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.035,0.062,0.035,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.035,0.062,0.035,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.035,0.062,0.035,380.138,380.138,760.275
-380.138,-380.138,-760.275,0.106,0.062,0.106,380.244,380.138,760.381
-380.138,-380.138,-760.275,0.463,0.012,0.475,380.601,380.149,760.750
-380.138,-380.138,-760.275,0.631,0.012,0.631,380.768,380.138,760.906
-380.138,-380.138,-760.275,0.244,0.012,0.244,380.381,380.138,760.519
-380.138,-380.138,-760.275,0.070,0.012,0.070,380.208,380.138,760.346
-380.138,-380.138,-760.275,0.226,0.012,0.226,380.364,380.138,760.501
-380.138,-380.138,-760.275,0.193,0.012,0.193,380.330,380.138,760.468
-380.138,-380.138,-760.275,0.030,0.012,0.030,380.138,380.138,760.275
