264,26.98
Nature 5 - Character Physics\DeformTerrainMaster\gravityForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceYFloat
-367.875,-367.875,-735.750,-0.531,0.364,-0.167,367.344,368.239,735.583
-367.875,-367.875,-735.750,-0.746,0.307,-0.439,367.129,368.182,735.311
-367.875,-367.875,-735.750,-0.020,0.119,0.099,367.855,367.994,735.850
-367.875,-367.875,-735.750,0.025,0.014,0.039,367.900,367.889,735.789
-367.875,-367.875,-735.750,-0.854,0.111,-0.743,367.021,367.987,735.007
-367.875,-367.875,-735.750,-0.936,0.166,-0.770,366.939,368.041,734.980
-367.875,-367.875,-735.750,-0.293,-0.096,-0.390,367.582,367.779,735.361
-367.875,-367.875,-735.750,0.046,-0.070,-0.024,367.921,367.805,735.726
-367.875,-367.875,-735.750,0.428,-0.225,0.202,368.303,367.650,735.953
-367.875,-367.875,-735.750,1.455,-0.578,0.877,369.330,367.297,736.627
-367.875,-367.875,-735.750,0.473,-0.166,0.307,368.348,367.709,736.057
-367.875,-367.875,-735.750,1.036,-0.292,0.744,368.911,367.583,736.494
-367.875,-367.875,-735.750,1.089,-0.227,0.862,368.964,367.648,736.612
-367.875,-367.875,-735.750,0.960,-0.172,0.788,368.835,367.703,736.538
-367.875,-367.875,-735.750,0.583,-0.015,0.567,368.458,367.860,736.317
-367.875,-367.875,-735.750,0.227,0.168,0.395,368.102,368.043,736.145
-367.875,-367.875,-735.750,0.258,0.069,0.326,368.133,367.944,736.076
-367.875,-367.875,-735.750,-0.030,0.171,0.141,367.845,368.046,735.891
-367.875,-367.875,-735.750,-0.220,0.144,-0.076,367.655,368.019,735.674
-367.875,-367.875,-735.750,0.037,-0.068,-0.031,367.912,367.807,735.719
-367.875,-367.875,-735.750,0.592,-0.278,0.314,368.467,367.597,736.064
-367.875,-367.875,-735.750,0.867,-0.145,0.723,368.743,367.730,736.473
-367.875,-367.875,-735.750,0.459,-0.167,0.292,368.334,367.708,736.042
-367.875,-367.875,-735.750,-0.490,0.081,-0.409,367.385,367.956,735.341
-367.875,-367.875,-735.750,-0.460,-0.078,-0.538,367.415,367.797,735.212
-367.875,-367.875,-735.750,-0.067,0.109,0.042,367.808,367.984,735.792
-349.665,-386.085,-735.750,-147.548,-2.195,-149.743,202.117,383.890,586.007
-233.789,-501.961,-735.750,-60.746,-36.821,-97.567,173.043,465.140,638.184
-77.986,-657.764,-735.750,-10.984,-72.650,-83.634,67.003,585.113,652.116
-39.129,-696.621,-735.750,-4.882,-73.729,-78.611,34.247,622.892,657.140
-113.672,-622.079,-735.750,0.057,-68.478,-68.421,113.728,553.600,667.329
-310.707,-425.043,-735.750,99.736,-114.348,-14.612,410.443,310.695,721.138
-571.517,-164.233,-735.750,146.850,-47.172,99.678,718.367,117.061,835.428
-735.750,0.000,-735.750,13.138,0.000,13.138,748.888,0.000,748.888
-735.750,0.000,-735.750,-15.262,0.000,-15.262,720.489,0.000,720.489
-735.750,0.000,-735.750,-27.271,0.000,-27.271,708.479,0.000,708.479
-728.571,-7.179,-735.750,-18.036,2.447,-15.589,710.535,9.626,720.161
-728.668,-7.082,-735.750,-18.704,2.429,-16.275,709.964,9.511,719.475
-713.602,-22.148,-735.750,-29.893,0.448,-29.446,683.709,22.596,706.305
-673.503,-62.247,-735.750,-100.973,-4.901,-105.874,572.530,57.346,629.876
-520.284,-215.466,-735.750,-101.188,31.995,-69.193,419.096,247.462,666.558
-289.743,-446.007,-735.750,-84.426,92.495,8.069,205.317,538.502,743.819
0.000,-735.750,-735.750,0.000,65.617,65.617,0.000,801.367,801.367
0.000,-735.750,-735.750,0.000,42.629,42.629,0.000,778.379,778.379
0.000,-735.750,-735.750,0.000,-10.342,-10.342,0.000,725.408,725.408
0.000,-735.750,-735.750,0.000,-24.603,-24.603,0.000,711.147,711.147
-22.652,-713.098,-735.750,6.577,-30.153,-23.576,29.229,682.946,712.174
-17.443,-718.307,-735.750,4.750,-34.900,-30.151,22.193,683.406,705.599
-28.083,-707.667,-735.750,-0.306,-67.257,-67.563,27.777,640.410,668.187
-67.581,-668.169,-735.750,-7.708,-99.004,-106.712,59.873,569.165,629.038
-310.868,-424.882,-735.750,101.941,-119.222,-17.281,412.809,305.660,718.469
-540.827,-194.923,-735.750,119.488,-49.897,69.591,660.314,145.027,805.341
-735.750,0.000,-735.750,37.836,0.000,37.836,773.586,0.000,773.586
-735.750,0.000,-735.750,-15.800,0.000,-15.800,719.951,0.000,719.951
-735.750,0.000,-735.750,-15.996,0.000,-15.996,719.754,0.000,719.754
-728.949,-6.801,-735.750,-17.572,2.188,-15.384,711.378,8.989,720.367
-728.155,-7.595,-735.750,-18.576,2.745,-15.831,709.579,10.340,719.920
-703.679,-32.071,-735.750,-66.130,-3.140,-69.270,637.548,28.931,666.480
-673.465,-62.285,-735.750,-63.373,-2.966,-66.339,610.092,59.319,669.411
-520.289,-215.461,-735.750,-90.559,28.585,-61.974,429.730,244.046,673.776
-146.777,-588.973,-735.750,-110.931,102.383,-8.548,35.845,691.356,727.202
0.000,-735.750,-735.750,0.000,71.028,71.028,0.000,806.779,806.779
0.000,-735.750,-735.750,0.000,17.410,17.410,0.000,753.160,753.160
0.000,-735.750,-735.750,0.000,-8.777,-8.777,0.000,726.973,726.973
0.000,-735.750,-735.750,0.000,-22.414,-22.414,0.000,713.336,713.336
-20.413,-715.338,-735.750,10.822,-52.485,-41.663,31.235,662.853,694.087
-17.418,-718.332,-735.750,5.900,-43.136,-37.235,23.318,675.196,698.515
-38.823,-696.927,-735.750,-4.881,-70.308,-75.189,33.942,626.619,660.561
-125.474,-610.276,-735.750,2.715,-125.680,-122.965,128.189,484.597,612.786
-311.177,-424.573,-735.750,101.086,-122.693,-21.607,412.263,301.880,714.143
-572.600,-163.150,-735.750,92.384,-35.556,56.827,664.984,127.594,792.577
-735.750,0.000,-735.750,87.513,0.000,87.513,823.263,0.000,823.263
-735.750,0.000,-735.750,-14.184,0.000,-14.184,721.566,0.000,721.566
-735.750,0.000,-735.750,-7.496,0.000,-7.496,728.254,0.000,728.254
-729.197,-6.553,-735.750,-17.856,2.096,-15.760,711.341,8.649,719.990
-728.588,-7.162,-735.750,-18.787,2.501,-16.285,709.801,9.664,719.465
-716.075,-19.675,-735.750,-44.252,1.353,-42.899,671.823,21.028,692.851
-673.678,-62.072,-735.750,-110.556,-6.261,-116.817,563.123,55.811,618.933
-520.279,-215.471,-735.750,-98.693,31.222,-67.471,421.586,246.693,668.279
-184.414,-551.336,-735.750,-87.865,84.632,-3.233,96.548,635.969,732.517
0.000,-735.750,-735.750,0.000,97.907,97.907,0.000,833.657,833.657
0.000,-735.750,-735.750,0.000,8.861,8.861,0.000,744.612,744.612
0.000,-735.750,-735.750,0.000,-12.644,-12.644,0.000,723.106,723.106
0.000,-735.750,-735.750,0.000,-27.166,-27.166,0.000,708.585,708.585
-16.780,-718.970,-735.750,8.365,-42.695,-34.330,25.145,676.275,701.420
-23.284,-712.467,-735.750,0.560,-52.167,-51.608,23.843,660.299,684.143
-39.386,-696.364,-735.750,-2.854,-44.935,-47.789,36.531,651.429,687.961
-159.305,-576.445,-735.750,12.091,-135.983,-123.892,171.396,440.462,611.859
-315.714,-420.036,-735.750,186.301,-212.415,-26.114,502.015,207.622,709.636
-571.800,-163.951,-735.750,99.131,-33.330,65.801,670.931,130.621,801.552
-735.750,0.000,-735.750,-2.489,0.000,-2.489,733.261,0.000,733.261
-735.750,0.000,-735.750,-8.476,0.000,-8.476,727.274,0.000,727.274
-735.750,0.000,-735.750,-15.718,0.000,-15.718,720.032,0.000,720.032
-725.821,-9.929,-735.750,-23.584,4.101,-19.483,702.237,14.030,716.267
-728.232,-7.518,-735.750,-29.739,4.327,-25.413,698.493,11.845,710.337
-703.510,-32.241,-735.750,-75.117,-2.438,-77.555,628.393,29.803,658.195
-654.021,-81.729,-735.750,-158.190,-4.924,-163.114,495.831,76.806,572.636
-520.403,-215.348,-735.750,-65.380,19.928,-45.452,455.023,235.276,690.298
-147.068,-588.682,-735.750,-103.282,100.448,-2.834,43.786,689.131,732.916
0.000,-735.750,-735.750,0.000,74.087,74.087,0.000,809.837,809.837
0.000,-735.750,-735.750,0.000,19.119,19.119,0.000,754.869,754.869
0.000,-735.750,-735.750,0.000,-13.434,-13.434,0.000,722.316,722.316
0.000,-735.750,-735.750,0.000,-50.336,-50.336,0.000,685.414,685.414
-18.479,-717.271,-735.750,9.266,-48.446,-39.181,27.745,668.825,696.569
